"carat","cut","color","clarity","depth","table","price","x","y","z"
0.61,"Ideal","G","VVS1",61.2,56,3008,5.46,5.48,3.35
0.9,"Good","E","SI1",60.8,65,3933,6.14,6.17,3.74
1.2,"Premium","H","SI2",62.5,58,5280,6.76,6.81,4.24
0.38,"Premium","D","SI1",59.1,58,635,4.74,4.77,2.81
0.53,"Ideal","G","VVS2",62.5,54,1914,5.21,5.19,3.25
0.98,"Very Good","H","SI2",62.1,59,3731,6.33,6.39,3.95
0.73,"Ideal","D","SI1",61.4,57,2841,5.76,5.8,3.55
1.08,"Ideal","D","VS2",61.9,58,8481,6.54,6.57,4.06
0.71,"Premium","D","SI1",59.7,59,2913,5.8,5.82,3.47
0.71,"Very Good","G","SI1",62.7,58,2274,5.7,5.72,3.58
0.34,"Very Good","H","VS2",60,58,521,4.52,4.56,2.72
0.8,"Ideal","I","VVS1",61.7,56,3181,5.98,5.92,3.67
1,"Very Good","F","SI2",61.3,61,4372,6.36,6.39,3.91
1.31,"Premium","H","SI2",60,57,6089,7.1,7.07,4.25
0.35,"Ideal","D","VVS1",61.5,57,1247,4.55,4.52,2.79
0.33,"Ideal","D","SI2",62.4,57,631,4.42,4.39,2.75
0.51,"Very Good","D","SI1",60,58,1380,5.19,5.24,3.13
0.4,"Premium","D","VVS2",60.8,59,1263,4.76,4.81,2.91
0.28,"Ideal","E","VVS1",61.2,54,787,4.24,4.26,2.6
0.9,"Good","E","SI1",63.9,57,3795,6.12,6.08,3.9
1.01,"Ideal","H","SI1",62.7,56,4851,6.41,6.44,4.03
1.71,"Premium","G","VS1",62.3,58,17197,7.65,7.61,4.75
0.3,"Ideal","E","VS1",60.5,55,775,4.35,4.38,2.64
0.31,"Premium","F","IF",61.9,58,914,4.36,4.39,2.71
0.33,"Very Good","G","SI1",63.2,57,631,4.44,4.39,2.79
1.5,"Good","H","VS1",64.2,56,8749,7.3,7.09,4.62
0.7,"Ideal","G","VVS2",61.6,57,3725,5.74,5.71,3.53
0.32,"Premium","G","VS2",62.5,60,561,4.32,4.38,2.72
0.41,"Ideal","F","VS2",61.9,56,1107,4.76,4.74,2.94
0.92,"Ideal","E","SI2",62.1,53,4011,6.22,6.25,3.87
0.4,"Premium","F","VS2",61,59,1080,4.76,4.71,2.89
0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08
2.09,"Ideal","H","SI2",60.6,57,16703,8.3,8.2,5
0.58,"Very Good","H","SI1",61.8,56,1219,5.34,5.38,3.31
1.01,"Fair","H","VVS2",65,55,4355,6.31,6.27,4.09
1.23,"Very Good","G","SI1",63.1,56,6665,6.81,6.78,4.29
0.55,"Premium","F","VS2",61.7,56,1819,5.29,5.25,3.25
1.12,"Premium","G","VS2",62.3,59,6683,6.71,6.61,4.15
0.56,"Ideal","G","IF",61.8,54,2298,5.31,5.33,3.29
0.34,"Good","E","SI2",63.7,55,612,4.46,4.43,2.83
0.41,"Ideal","G","VS2",62.2,57,1061,4.74,4.71,2.94
1.08,"Ideal","J","VS2",62.3,56,4093,6.6,6.53,4.09
0.7,"Good","D","SI1",62.6,62,2546,5.61,5.64,3.52
0.53,"Good","E","SI1",63.1,56,1355,5.15,5.19,3.26
0.66,"Premium","F","VS1",60.8,58,2368,5.67,5.64,3.44
1.23,"Ideal","F","VVS2",61.8,56,11141,6.89,6.84,4.24
0.42,"Very Good","E","VVS2",59.4,60,1262,4.88,4.91,2.91
0.3,"Ideal","F","VVS1",61.9,58,814,4.26,4.3,2.65
1.04,"Ideal","I","SI2",62.4,57,3953,6.48,6.46,4.04
0.33,"Ideal","E","VS1",60.9,57,850,4.47,4.5,2.73
0.9,"Ideal","H","VS1",60.9,56,5013,6.25,6.27,3.81
0.75,"Ideal","D","SI2",60.3,57,2726,5.85,5.89,3.54
1.5,"Fair","J","I1",68.8,57,4284,6.94,6.87,4.75
1.51,"Premium","I","SI1",61.8,60,7989,7.23,7.3,4.49
0.3,"Ideal","H","VS2",62.1,55,491,4.33,4.36,2.7
0.55,"Very Good","E","SI1",63,59,1406,5.25,5.17,3.28
1.56,"Premium","F","SI2",63,58,6971,7.35,7.28,4.66
0.27,"Premium","H","VVS2",60.7,59,486,4.19,4.21,2.55
0.24,"Very Good","E","VS1",62.4,56,461,3.96,3.97,2.47
1.23,"Ideal","G","VVS2",62.2,56.1,9921,6.8,6.87,4.25
0.4,"Very Good","G","VVS1",61.7,58,1123,4.69,4.71,2.9
1.16,"Very Good","H","SI2",59.6,59,4455,6.85,6.87,4.09
0.33,"Ideal","F","VS1",61.6,55,738,4.46,4.47,2.76
0.39,"Very Good","F","VS2",60.1,56,832,4.77,4.82,2.88
0.42,"Very Good","G","SI1",62.9,54,737,4.79,4.81,3.02
0.3,"Ideal","F","VVS2",61.6,53,694,4.35,4.39,2.69
1.01,"Ideal","D","VVS2",61.6,57,12996,6.44,6.48,3.98
1.51,"Good","I","VVS1",64,60,9301,7.21,7.26,4.63
1.23,"Ideal","H","VS1",62.1,54,7946,6.87,6.89,4.27
0.41,"Good","E","VS1",63.9,53,1166,4.75,4.7,3.02
2,"Premium","D","SI2",60.8,60,16484,8.15,8.1,4.94
1.23,"Premium","I","SI2",62.5,60,5269,6.82,6.75,4.24
0.31,"Ideal","I","VVS1",62,54,571,4.34,4.37,2.7
1.02,"Very Good","F","SI2",60,60,4207,6.53,6.57,3.93
1.25,"Premium","H","SI1",59.4,62,5320,7.07,7,4.18
0.33,"Ideal","E","VS2",61.2,56,928,4.47,4.45,2.73
0.35,"Ideal","F","VS2",61.4,54,706,4.54,4.58,2.8
2.01,"Good","G","SI1",60.1,61,18374,8.04,8.12,4.86
1.14,"Premium","E","VVS2",59.7,58,10258,6.83,6.91,4.1
0.43,"Ideal","E","VS1",63,55,1094,4.85,4.87,3.06
0.58,"Ideal","E","VS1",60.8,57,2241,5.41,5.42,3.29
0.3,"Ideal","F","VS2",61.9,55,776,4.32,4.31,2.67
0.57,"Very Good","G","VS2",62.6,55,1608,5.26,5.31,3.31
0.55,"Ideal","E","SI2",62,56,1273,5.27,5.22,3.25
0.7,"Very Good","G","SI2",63.2,57,2117,5.7,5.66,3.59
0.32,"Ideal","G","VVS1",61.8,54,814,4.41,4.43,2.73
0.32,"Very Good","F","VVS1",61.5,57,886,4.38,4.41,2.7
0.56,"Ideal","F","VS1",61.7,54,2016,5.32,5.28,3.27
0.33,"Ideal","I","SI2",61.8,55,403,4.49,4.51,2.78
0.46,"Fair","G","VS2",65.3,56,1002,4.83,4.76,3.13
1.58,"Ideal","G","SI1",62.2,55,11927,7.44,7.5,4.65
0.33,"Premium","F","SI2",62.3,58,557,4.43,4.4,2.75
0.73,"Very Good","E","SI2",59.6,57,2359,5.87,5.91,3.51
0.3,"Premium","F","SI2",62.3,58,506,4.32,4.28,2.68
1.02,"Ideal","E","IF",62.6,57,11500,6.41,6.47,4.03
0.52,"Premium","H","SI1",62.6,55,1219,5.16,5.12,3.22
1.53,"Ideal","I","SI2",61.3,59,8062,7.42,7.39,4.54
0.34,"Premium","F","SI1",59.8,58,727,4.57,4.53,2.72
0.72,"Premium","J","SI1",62.1,59,1987,5.75,5.71,3.56
0.3,"Ideal","F","VVS2",61.6,55,751,4.3,4.33,2.66
0.51,"Ideal","G","VS2",60.7,56,1557,5.18,5.23,3.16
0.55,"Ideal","E","VS2",61.8,57,1792,5.34,5.27,3.28
0.7,"Premium","H","VVS1",59.2,60,2840,5.87,5.78,3.45
0.41,"Premium","G","VS2",60.9,58,1061,4.83,4.8,2.93
0.62,"Ideal","I","VVS1",61.1,55,2207,5.52,5.57,3.39
0.33,"Ideal","E","VS2",61.2,56,723,4.45,4.47,2.73
1.01,"Very Good","F","VVS2",61.8,55,8532,6.36,6.45,3.96
2.02,"Premium","F","SI2",61.3,58,13267,8.09,8.05,4.95
0.9,"Premium","I","VS2",62.6,62,3292,6.13,6.04,3.81
0.38,"Very Good","J","SI1",63.2,59,538,4.59,4.62,2.91
2.11,"Very Good","G","I1",63.2,57,7834,8.13,8.07,5.12
1,"Good","F","I1",64.2,59,2717,6.26,6.3,4.03
0.31,"Premium","E","VS2",60.8,58,680,4.35,4.37,2.65
0.23,"Very Good","D","VVS1",61.7,59,485,3.94,3.97,2.44
1.48,"Ideal","E","SI2",62.1,57,8818,7.35,7.28,4.54
0.72,"Ideal","D","VS1",61.7,56,4047,5.77,5.81,3.57
0.3,"Very Good","F","IF",62,58,886,4.28,4.3,2.66
0.71,"Very Good","J","SI1",61,61,1760,5.66,5.71,3.47
2,"Good","G","VS2",64.1,55,17898,7.94,7.88,5.07
1.56,"Premium","D","SI1",62.6,58,12226,7.36,7.44,4.63
0.73,"Premium","E","VS2",58.6,60,2812,5.92,5.89,3.46
0.39,"Ideal","F","SI1",61.3,56,919,4.69,4.72,2.88
0.31,"Ideal","F","VVS1",61.1,56,975,4.37,4.4,2.68
0.32,"Ideal","D","VVS2",61.7,55,1014,4.42,4.39,2.72
1.13,"Ideal","D","VS1",61.2,57,11477,6.7,6.72,4.1
0.32,"Ideal","F","IF",61.8,56,1204,4.4,4.44,2.73
0.52,"Ideal","E","VS2",62,55,1689,5.14,5.19,3.2
0.7,"Fair","G","SI2",58.6,56,2208,5.8,5.74,3.38
0.55,"Premium","F","VS2",62.5,58,2376,5.25,5.22,3.27
1.27,"Good","F","I1",59.2,64,4324,7.06,6.99,4.16
1.01,"Very Good","E","SI1",63.4,58,5684,6.32,6.37,4.02
1.14,"Premium","I","SI1",60.4,60,4596,6.78,6.73,4.08
1.19,"Ideal","J","SI1",62,56,4678,6.8,6.77,4.21
0.32,"Ideal","F","VS1",61.3,55,676,4.43,4.46,2.72
1,"Good","E","SI1",57.2,62,5345,6.59,6.56,3.76
0.56,"Ideal","E","VS1",61.7,57,2075,5.3,5.32,3.27
0.53,"Good","E","SI2",63.2,54,1141,5.16,5.19,3.27
0.5,"Ideal","E","VVS1",61.9,58,2682,5.07,5.11,3.15
1.2,"Very Good","G","SI2",62.9,54,5321,6.76,6.79,4.26
2.01,"Ideal","F","SI2",61.3,60,17798,8.05,8.1,4.95
0.33,"Premium","I","VVS2",61,59,743,4.44,4.41,2.7
0.9,"Premium","G","SI1",61.9,59,3669,6.18,6.13,3.81
1.24,"Ideal","D","VVS2",61.5,57,14737,6.88,6.94,4.25
0.31,"Premium","H","VVS1",62.1,58,707,4.33,4.36,2.7
0.71,"Premium","E","VS2",59.9,58,2711,5.78,5.81,3.47
1.2,"Good","J","VS2",63.7,56,5053,6.67,6.62,4.23
0.42,"Very Good","E","VS1",62.9,57,1005,4.75,4.79,3
0.53,"Ideal","G","VS1",62.7,55,1813,5.18,5.16,3.24
1.26,"Ideal","G","VS1",61.6,56,9078,6.96,7.03,4.31
1.13,"Ideal","F","SI2",62.3,57,4778,6.67,6.61,4.14
1.01,"Premium","D","VS1",61.6,58,8823,6.44,6.42,3.96
0.71,"Good","I","VS1",63.6,56,2327,5.7,5.65,3.61
0.56,"Premium","E","VS2",61.1,59,1668,5.34,5.27,3.24
0.35,"Very Good","H","VS2",59.8,62,545,4.57,4.63,2.75
0.33,"Premium","G","SI1",61.6,57,631,4.45,4.42,2.73
0.34,"Ideal","D","VS1",61.2,58,787,4.45,4.5,2.74
0.58,"Very Good","E","VVS1",59.4,63,2568,5.42,5.32,3.19
0.48,"Ideal","G","IF",61.9,55,1791,5.03,5.08,3.13
1.5,"Premium","E","VS2",62.1,60,14386,7.31,7.27,4.53
0.3,"Ideal","E","VVS1",62.1,57,862,4.27,4.29,2.66
1.57,"Very Good","H","SI1",59.6,58,10447,7.61,7.65,4.55
1.1,"Very Good","E","SI2",60.1,62,4607,6.65,6.69,4.01
1.07,"Premium","G","I1",62.3,60,3547,6.55,6.51,4.07
0.41,"Very Good","H","VVS2",62.2,58,899,4.71,4.74,2.94
0.32,"Premium","G","SI1",59.6,60,612,4.46,4.43,2.65
0.7,"Ideal","J","VS2",62,58,1953,5.66,5.69,3.52
0.36,"Ideal","D","SI2",62.3,57,689,4.57,4.52,2.83
1.24,"Premium","H","SI1",60.1,58,6327,7.04,7.01,4.22
1,"Good","F","VS1",64.2,60,6389,6.18,6.28,4
1.01,"Fair","D","SI1",64.6,60,4751,6.12,6.08,3.94
0.41,"Ideal","E","SI2",61.9,57,683,4.76,4.8,2.96
0.57,"Ideal","G","VVS2",61.7,54,2206,5.41,5.32,3.31
1.01,"Ideal","E","SI2",61.5,55,4504,6.45,6.49,3.98
0.53,"Ideal","G","VVS2",61.4,57,2250,5.17,5.2,3.18
1.04,"Very Good","D","IF",61.3,56,18542,6.53,6.55,4.01
0.48,"Ideal","H","VS2",62.2,54,1026,5.04,5.05,3.14
0.34,"Ideal","E","VS2",62,56,646,4.46,4.48,2.77
0.3,"Premium","G","SI1",61,57,574,4.34,4.31,2.64
0.5,"Ideal","E","VS2",61.8,55,1624,5.06,5.11,3.14
1.08,"Ideal","G","IF",61.3,57,8873,6.59,6.62,4.05
0.73,"Very Good","F","VVS2",61.9,59,3442,5.72,5.84,3.58
1.57,"Very Good","H","VS2",63.4,56,9407,7.46,7.4,4.71
1.01,"Very Good","G","SI2",61.9,55,3852,6.43,6.46,3.99
0.33,"Ideal","G","IF",62.1,56,984,4.41,4.44,2.75
0.44,"Ideal","I","VS1",61.8,55,807,4.89,4.92,3.03
0.31,"Very Good","F","VS2",62.7,57,500,4.31,4.36,2.72
0.31,"Good","H","SI1",63.6,57,573,4.33,4.32,2.75
0.96,"Ideal","J","VS2",61.5,57,3326,6.32,6.36,3.9
0.36,"Ideal","G","VVS2",61.8,55,888,4.57,4.62,2.84
0.5,"Good","E","SI1",63.7,59,1155,5.07,5.01,3.21
0.35,"Premium","H","VS1",62.6,59,788,4.5,4.45,2.8
0.52,"Ideal","H","VS2",61.5,55,1593,5.18,5.22,3.2
0.32,"Ideal","H","VS1",61.6,56,592,4.42,4.46,2.73
0.31,"Ideal","D","SI2",61.3,56,462,4.36,4.41,2.69
0.5,"Very Good","G","VVS2",62.2,61,1715,5.07,5.09,3.16
0.61,"Ideal","F","SI1",61.4,56,1681,5.46,5.42,3.34
0.5,"Ideal","G","SI1",61.7,57,1237,5.06,5.08,3.13
0.55,"Ideal","I","VS2",61.6,55,1281,5.27,5.29,3.25
0.41,"Premium","G","VS1",62.6,58,899,4.7,4.75,2.96
0.37,"Premium","E","VS2",61,59,692,4.6,4.65,2.82
1.01,"Premium","E","SI2",62.8,57,4054,6.41,6.36,4.01
0.72,"Very Good","G","VS1",60.6,56,2970,5.84,5.87,3.55
0.3,"Ideal","F","VVS1",62.1,55,802,4.31,4.35,2.69
0.23,"Very Good","D","VVS1",63.3,57,478,3.9,3.93,2.48
0.52,"Premium","G","SI1",62.6,58,1249,5.13,5.1,3.2
0.42,"Good","H","SI1",63.1,57,700,4.76,4.78,3.01
1.2,"Premium","G","VVS2",62.8,59,10053,6.72,6.65,4.2
0.5,"Very Good","H","VS2",62.3,56,1337,5.06,5.11,3.17
0.75,"Very Good","E","VS2",62.3,56,3365,5.79,5.84,3.62
0.36,"Ideal","G","VS1",61.6,56,932,4.59,4.56,2.82
1.53,"Premium","G","VVS1",60.6,58,16601,7.49,7.45,4.53
1.02,"Very Good","H","SI1",60.3,59,4476,6.44,6.5,3.9
0.56,"Premium","F","VS2",59.6,58,1654,5.34,5.36,3.19
1.02,"Ideal","G","SI2",62.6,58,4363,6.42,6.4,4.01
0.3,"Very Good","G","VS1",63.4,58,776,4.25,4.23,2.69
0.4,"Premium","G","VVS2",62.5,60,1050,4.7,4.65,2.92
0.59,"Premium","E","VS2",62.3,55,1883,5.43,5.39,3.37
0.32,"Premium","G","SI2",62.7,58,421,4.35,4.39,2.74
0.7,"Ideal","H","SI1",62.2,55,2294,5.67,5.71,3.54
1,"Very Good","D","SI1",62.1,61,5390,6.3,6.32,3.92
1.01,"Very Good","G","SI2",61.8,58,3966,6.36,6.39,3.94
0.3,"Good","F","VS2",63.5,55,484,4.25,4.28,2.71
0.3,"Ideal","F","VVS1",61.4,56,1041,4.33,4.37,2.67
2.22,"Ideal","G","SI2",62.6,57,14637,8.35,8.29,5.21
1.51,"Ideal","F","VVS2",62.6,57,16754,7.36,7.25,4.57
1.02,"Good","D","SI2",57.7,64,4246,6.7,6.62,3.84
0.5,"Ideal","D","VS2",61.9,55,1690,5.09,5.12,3.16
1.3,"Ideal","G","IF",61.3,56,12932,7.03,7.06,4.32
0.9,"Good","G","SI1",63.7,58,3669,6.12,6.09,3.89
1.01,"Fair","I","I1",56.1,63,2342,6.7,6.65,3.74
0.4,"Ideal","F","VVS1",61.5,56,1206,4.77,4.73,2.92
0.3,"Very Good","H","VVS2",62.8,57,605,4.22,4.25,2.66
